best_fitness,fitness_mean,fitness_std,elapsed_time(seconds)
20,84.94,54.9521,12.9103
21,86.47,54.9704,11.0282
22,87.66,55.3139,10.4042
22,85.5,53.6385,10.3434
22,86.71,54.6363,10.4454
22,88.35,56.5751,10.3999
20,84.47,53.1519,10.4381
22,87.08,54.2212,11.49
22,86.39,53.7749,10.3756
21,89.7,57.4006,10.7118
22,89.77,57.0349,10.3382
20,84.66,55.1506,11.5985
22,87.11,55.9122,12.0521
22,87.42,55.0664,10.3041
22,85.92,54.3589,11.3876
20,86.46,54.9764,11.3746
22,84.02,52.4671,10.3787
22,86.93,55.2623,10.9494
22,88.38,55.9883,10.4146
22,86.63,55.2991,11.6789
