order,best_fitness,fitness_mean,fitness_std,elapsed_time(seconds)
30,14,30.92,15.1253,1.40284
30,14,31.4,15.9837,1.58278
40,12,36.72,21.8381,2.62891
40,16,39.56,21.0472,2.50669
40,15,38.55,20.9267,2.47615
40,17,39.09,19.7241,2.62534
40,16,39.13,21.1119,2.46693
40,15,38.74,20.9641,2.56523
40,16,40.77,22.2395,2.49626
40,16,40.52,21.7087,2.30819
40,17,40.59,20.6015,2.55083
40,17,40.89,21.0337,2.87183
40,17,39.97,20.0552,2.44945
40,16,40.38,21.9339,2.26802
40,15,39.06,21.2691,2.62528
40,16,39.36,20.5024,2.50248
40,15,38.77,21.1716,2.82106
40,17,40.35,20.7357,2.60069
40,17,39.52,20.1005,2.50024
40,15,37.84,19.9969,2.5446
40,16,39.42,20.8246,2.68042
40,16,40.22,21.7198,2.4936
50,18,47.14,25.6176,3.71783
50,19,50.23,27.1871,3.46499
50,19,49.6,27.0455,3.32299
50,19,50.27,27.031,3.39476
50,19,49.56,26.7029,3.427
50,19,49.05,26.0846,3.5
50,17,47.82,26.8042,3.33795
50,18,46.69,24.8876,3.17254
50,19,47.35,24.6002,3.47195
50,18,48.83,26.9255,3.31534
50,19,48.39,25.6472,3.34849
50,15,47.17,28.0931,3.24333
50,18,48.47,26.8005,3.75434
50,18,47.45,25.9424,3.69632
50,19,48.8,26.1985,3.51986
50,18,48.1,26.5686,3.23197
50,17,46.92,26.3001,3.56421
50,19,49.93,26.8169,3.91165
50,19,47.68,24.9571,4.21149
50,15,46.56,27.5784,3.64204
60,16,53.79,32.7717,4.38671
60,16,54.2,33.0212,4.82633
60,16,55.03,33.6242,3.86709
60,16,54.05,32.8288,4.18299
60,16,53.78,32.5673,3.73237
60,16,53.15,32.459,3.91127
60,16,54.36,33.2627,4.93208
60,16,54.84,33.1734,3.80386
60,16,55.16,33.9543,4.35402
60,16,53.99,32.9592,3.96684
60,16,54.25,33.2837,3.69678
60,16,53.87,32.9571,3.79484
60,16,54.27,32.9657,3.7741
60,16,54.46,33.436,3.74964
60,16,54.74,33.3322,4.27326
60,16,54.95,33.3735,4.03787
60,15,52.52,32.2796,4.21837
60,16,54.25,33.3312,4.24729
60,16,53.09,32.1151,3.83832
60,16,53.96,32.8855,3.80396
70,16,61.79,39.3406,6.77065
70,16,59.98,38.0999,6.85965
70,16,60.96,38.6799,6.70678
70,16,62.06,39.4423,6.70099
70,16,60.74,38.5333,6.72589
70,16,61.23,38.7257,7.2092
70,16,59.96,38.376,7.00281
70,16,59.23,37.1946,7.69441
70,16,58.36,36.4814,7.28573
70,16,61.4,39.0069,6.8998
70,16,60.91,38.5987,6.95379
70,16,59.86,37.8426,7.24924
70,16,60.26,38.1837,6.05766
70,16,62.34,40.2202,6.81433
70,16,62.17,40.3614,6.01027
70,16,62.83,40.2326,6.79984
70,16,61.94,39.2958,6.96923
70,16,61.69,39.7594,6.87932
70,16,62.51,39.7383,6.7564
70,16,62.1,39.4014,6.81287
80,19,69.9,43.4754,7.48917
80,22,72.91,43.5743,8.17362
80,21,72.88,44.9683,7.94107
80,22,72.16,43.3875,7.94149
80,22,73.01,43.6423,8.43245
80,20,70.63,43.2117,9.46116
80,22,74.62,44.7975,9.25079
80,22,72.66,43.4514,8.14563
80,22,72.49,43.4241,8.40908
80,20,71.21,43.9059,7.86967
80,20,69.49,42.809,7.89384
80,22,73.63,44.1417,8.06913
80,19,70.62,44.0846,8.24032
80,19,69.66,44.1688,8.55531
80,22,71.02,42.9991,8.33
80,22,74.28,44.7234,9.31947
80,20,68.59,41.9147,7.6784
80,19,70.66,44.0843,7.73654
80,20,69.91,42.9025,8.29781
80,18,71.82,46.0244,9.03688
90,19,75.51,48.5324,12.2888
90,19,76.48,49.2139,11.6935
90,19,76.39,48.9499,11.0728
90,19,76.41,49.5171,11.0604
90,19,77.45,49.9649,11.0704
90,19,75.78,48.5015,10.9662
90,19,76.55,49.1966,11.3238
90,19,77.25,49.4363,11.1885
90,19,76.7,49.4784,11.4565
90,19,78.34,50.8087,11.1511
90,19,76.24,48.8696,11.8696
90,19,77.04,49.658,10.2063
90,19,74.79,47.719,11.1828
90,19,77.25,50.1425,12.1249
90,19,76,48.4694,10.8776
90,19,76.92,49.9329,10.7013
90,19,76.34,49.3338,11.3447
90,19,75.81,49.2994,12.0204
90,19,75.91,48.5216,10.7798
90,19,76.61,49.4944,10.7188
100,19,83.11,54.5511,11.9923
100,19,83.16,54.7731,12.0543
100,19,87.9,58.6828,12.3425
100,19,83.25,54.6176,12.9115
100,19,84.11,55.7187,13.5913
100,19,83.47,54.9433,12.6682
100,19,84.85,55.8622,12.2663
100,19,84.5,55.8135,11.9662
100,19,84.3,55.742,11.9226
100,19,84.49,56.0347,11.9503
100,19,86.48,57.3569,12.0109
100,19,85.54,56.8245,11.8847
100,19,83.53,55.3161,11.9725
100,19,84.98,56.4328,11.9654
100,19,84.17,55.7383,12.0187
100,19,84.23,55.7932,11.9542
100,19,85.28,56.4677,11.9968
100,19,84.56,56.2186,11.9735
100,19,83.34,55.5145,11.9947
100,19,83.98,55.2489,12.0015
