best_fitness,fitness_mean,fitness_std,elapsed_time(seconds)
20,20.62,1.30215,1.933
20,20.67,1.31191,0.711869
20,20.67,1.28105,1.00251
20,20.71,1.37328,1.09452
19,19.67,1.35687,1.22835
20,20.68,1.27969,0.728127
20,20.76,1.40798,0.794024
20,20.94,1.50213,0.810565
20,20.7,1.27671,2.02054
18,18.82,1.40982,1.0313
20,20.56,1.2753,0.719749
19,19.71,1.28293,2.16584
20,20.57,1.23495,1.03388
21,21.98,1.42815,1.08866
20,20.91,1.5106,1.33067
20,20.51,1.13574,0.853815
21,21.64,1.23709,1.35941
16,16.74,1.35366,1.05672
19,19.62,1.23919,1.35249
17,17.57,1.15113,1.13696
