best_fitness,fitness_mean,fitness_std,elapsed_time(seconds)
21,21.49,1.13574,0.703931
20,20.77,1.37007,0.701451
17,17.88,1.4716,1.20591
20,20.54,1.23628,1.16723
19,19.89,1.33338,1.17305
21,21.65,1.252,1.95369
20,20.9,1.51327,0.719479
20,20.68,1.24,1.17305
20,20.89,1.42053,1.21048
21,21.96,1.37055,0.694654
21,21.67,1.31951,0.904475
20,20.82,1.43094,0.69861
20,20.75,1.34443,0.883505
21,21.68,1.31057,0.799062
21,21.67,1.37153,0.976794
21,21.64,1.32303,0.705968
20,20.68,1.27969,1.12418
21,21.72,1.40057,0.70014
19,19.52,1.13561,1.36746
20,20.74,1.34625,1.10733
